,Accuracy,Precision,Recall,F1-score,ROC-AUC
MobileNetV2,0.9006410256410257,0.9039408866995073,0.941025641025641,0.9221105527638191,0.9664913434144203
ResNet50,0.8814102564102564,0.8816425120772947,0.9358974358974359,0.9079601990049752,0.9465264080648695
